-1,0,0,0.65
0,0.98481,-0.17365,0.038264
0,-0.17365,-0.98481,0.71959
0,0,0,1
t,h,3
-1,0,0,0.65
0,0.98481,-0.17365,0.038264
0,-0.17365,-0.98481,0.71959
0,0,0,1
t,h,2
-1,0,0,0.65
0,0.98481,-0.17365,0.038264
0,-0.17365,-0.98481,0.71959
0,0,0,1
t,h,3
-1,0,0,0.65
0,0.98481,-0.17365,0.038264
0,-0.17365,-0.98481,0.71959
0,0,0,1
t,h,2
-1,0,0,0.65
0,0.98481,-0.17365,0.038264
0,-0.17365,-0.98481,0.71959
0,0,0,1
t,h,3
-1,0,0,0.65
0,0.98481,-0.17365,0.038264
0,-0.17365,-0.98481,0.71959
0,0,0,1
t,h,2
-1,0,0,0.65
0,0.98481,-0.17365,0.038264
0,-0.17365,-0.98481,0.71959
0,0,0,1
t,h,3
-1,0,0,0.65
0,0.98481,-0.17365,0.038264
0,-0.17365,-0.98481,0.71959
0,0,0,1
t,h,2
-0.9995,-0.031246,0.0055095,0.65
-0.031728,0.98431,-0.17356,0.043228
0,-0.17365,-0.98481,0.71574
0,0,0,1
t,h,3
-0.9995,-0.031246,0.0055095,0.65
-0.031728,0.98431,-0.17356,0.043228
0,-0.17365,-0.98481,0.71574
0,0,0,1
t,h,2
-0.99799,-0.06246,0.011013,0.65
-0.063424,0.98283,-0.1733,0.04794
0,-0.17365,-0.98481,0.71159
0,0,0,1
t,h,3
-0.99799,-0.06246,0.011013,0.65
-0.063424,0.98283,-0.1733,0.04794
0,-0.17365,-0.98481,0.71159
0,0,0,1
t,h,2
-0.99547,-0.093612,0.016506,0.65
-0.095056,0.98035,-0.17286,0.052382
0,-0.17365,-0.98481,0.70715
0,0,0,1
t,h,3
-0.99547,-0.093612,0.016506,0.65
-0.095056,0.98035,-0.17286,0.052382
0,-0.17365,-0.98481,0.70715
0,0,0,1
t,h,2
-0.99195,-0.12467,0.021983,0.65
-0.12659,0.97688,-0.17225,0.056537
0,-0.17365,-0.98481,0.70243
0,0,0,1
t,h,3
-0.99195,-0.12467,0.021983,0.65
-0.12659,0.97688,-0.17225,0.056537
0,-0.17365,-0.98481,0.70243
0,0,0,1
t,h,2
-0.98744,-0.1556,0.027437,0.65
-0.158,0.97244,-0.17147,0.060387
0,-0.17365,-0.98481,0.69747
