,,,,
X,Y,Z,,
550,110.894,-382.286,,
550,110.894,-382.286,,
550,110.894,-390.737,,
550,110.894,-390.737,,
550,110.894,-399.188,,
550,110.894,-399.188,,
550,110.894,-407.638,,
550,110.894,-407.638,,
550,110.894,-416.089,,
550,110.894,-416.089,,
550,110.894,-424.54,,
550,110.894,-424.54,,
550,110.894,-432.99,,
550,110.894,-432.99,,
550,110.894,-441.441,,
550,110.894,-441.441,,
550,110.894,-449.891,,
550,110.894,-449.891,,
550,110.894,-458.342,,
550,110.894,-458.342,,
550,110.894,-466.793,,
550,110.894,-466.793,,
550,110.894,-475.243,,
550,110.894,-475.243,,
550,110.894,-483.694,,
550,110.894,-483.694,,
550,110.894,-492.145,,
550,110.894,-492.145,,
550,110.894,-500.595,,
550,110.894,-500.595,,
550,110.894,-509.046,,
550,110.894,-509.046,,
550,110.894,-517.497,,
550,110.894,-517.497,,
550,110.894,-525.947,,
550,110.894,-525.947,,
550,110.894,-534.398,,
550,110.894,-534.398,,
550,110.894,-542.848,,
550,110.894,-542.848,,
550,110.894,-551.299,,
550,110.894,-551.299,,
550,110.894,-559.75,,
550,110.894,-559.75,,
550,110.894,-568.2,,
550,110.894,-568.2,,
550,110.894,-576.651,,
550,110.894,-576.651,,
550,110.894,-585.102,,
550,110.894,-585.102,,
550,110.894,-593.552,,
550,110.894,-593.552,,
550,110.894,-602.003,,
550,110.894,-602.003,,
550,110.894,-610.454,,
550,110.894,-610.454,,
550,110.894,-618.904,,
550,110.894,-618.904,,
550,113.392,-621.337,,
550,113.392,-621.337,,
550,119.368,-615.361,,
550,119.368,-615.361,,
550,125.343,-609.386,,
550,125.343,-609.386,,
550,131.319,-603.41,,
550,131.319,-603.41,,
550,137.294,-597.435,,
550,137.294,-597.435,,
550,143.27,-591.459,,
550,143.27,-591.459,,
550,149.246,-585.484,,
550,149.246,-585.484,,
550,155.221,-579.508,,
550,155.221,-579.508,,
550,161.197,-573.533,,
550,161.197,-573.533,,
550,167.172,-567.557,,
550,167.172,-567.557,,
550,173.148,-561.582,,
550,173.148,-561.582,,
550,179.123,-555.606,,
550,179.123,-555.606,,
550,185.099,-549.631,,
550,185.099,-549.631,,
550,191.074,-543.655,,
550,191.074,-543.655,,
550,197.05,-537.68,,
550,197.05,-537.68,,
550,203.025,-531.704,,
550,203.025,-531.704,,
550,209.001,-525.729,,
550,209.001,-525.729,,
550,214.976,-519.753,,
550,214.976,-519.753,,
550,220.952,-513.778,,
550,220.952,-513.778,,
550,226.927,-507.802,,
550,226.927,-507.802,,
550,232.903,-501.827,,
550,232.903,-501.827,,
550,238.885,-501.827,,
550,238.885,-501.827,,
550,244.86,-507.802,,
550,244.86,-507.802,,
550,250.836,-513.778,,
550,250.836,-513.778,,
550,256.811,-519.753,,
550,256.811,-519.753,,
550,262.787,-525.729,,
550,262.787,-525.729,,
550,268.762,-531.704,,
550,268.762,-531.704,,
550,274.738,-537.68,,
550,274.738,-537.68,,
550,280.713,-543.655,,
550,280.713,-543.655,,
550,286.689,-549.631,,
550,286.689,-549.631,,
550,292.664,-555.606,,
550,292.664,-555.606,,
550,298.64,-561.582,,
550,298.64,-561.582,,
550,304.615,-567.557,,
550,304.615,-567.557,,
550,310.591,-573.533,,
550,310.591,-573.533,,
550,316.566,-579.508,,
550,316.566,-579.508,,
550,322.542,-585.484,,
550,322.542,-585.484,,
550,328.517,-591.459,,
550,328.517,-591.459,,
550,334.493,-597.435,,
550,334.493,-597.435,,
550,340.468,-603.41,,
550,340.468,-603.41,,
550,346.444,-609.386,,
550,346.444,-609.386,,
550,352.419,-615.361,,
550,352.419,-615.361,,
550,358.395,-621.337,,
550,358.395,-621.337,,
550,360.894,-618.904,,
550,360.894,-618.904,,
550,360.894,-610.454,,
550,360.894,-610.454,,
550,360.894,-602.003,,
550,360.894,-602.003,,
550,360.894,-593.552,,
550,360.894,-593.552,,
550,360.894,-585.102,,
550,360.894,-585.102,,
550,360.894,-576.651,,
550,360.894,-576.651,,
550,360.894,-568.2,,
550,360.894,-568.2,,
550,360.894,-559.75,,
550,360.894,-559.75,,
550,360.894,-551.299,,
550,360.894,-551.299,,
550,360.894,-542.848,,
550,360.894,-542.848,,
550,360.894,-534.398,,
550,360.894,-534.398,,
550,360.894,-525.947,,
550,360.894,-525.947,,
550,360.894,-517.497,,
550,360.894,-517.497,,
550,360.894,-509.046,,
550,360.894,-509.046,,
550,360.894,-500.595,,
550,360.894,-500.595,,
550,360.894,-492.145,,
550,360.894,-492.145,,
550,360.894,-483.694,,
550,360.894,-483.694,,
550,360.894,-475.243,,
550,360.894,-475.243,,
550,360.894,-466.793,,
550,360.894,-466.793,,
550,360.894,-458.342,,
550,360.894,-458.342,,
550,360.894,-449.891,,
550,360.894,-449.891,,
550,360.894,-441.441,,
550,360.894,-441.441,,
550,360.894,-432.99,,
550,360.894,-432.99,,
550,360.894,-424.54,,
550,360.894,-424.54,,
550,360.894,-416.089,,
550,360.894,-416.089,,
550,360.894,-407.638,,
550,360.894,-407.638,,
550,360.894,-399.188,,
550,360.894,-399.188,,
550,360.894,-390.737,,
550,360.894,-390.737,,
550,360.894,-382.286,,
550,360.894,-382.286,,
