,,1,,,,,2',,,,,5',,,,,4,,,,,7',,,,,3
X,Y,Z,,,,,6',,,,,,,,,,,,,,,,,,,,
365.064,268.04,56.096,,,485.462,60.217,56.096,,,600.331,265.085,65.022,,,355.449,268.04,56.096,,,478.321,197.099,270.398,,,,,
365.064,268.04,56.096,,,485.462,60.217,56.096,,,600.331,265.085,65.022,,,355.449,268.04,56.096,,,478.321,197.099,270.398,,,,,
374.679,268.04,56.096,,,490.476,68.901,56.096,,,595.537,262.317,73.383,,,360.364,265.202,64.668,,,480.449,191.611,267.674,,,478.815,54.363,56.096
374.679,268.04,56.096,,,490.476,68.901,56.096,,,595.537,262.317,73.383,,,360.364,265.202,64.668,,,480.449,191.611,267.674,,,478.815,54.363,56.096
384.295,268.04,56.096,,,495.489,77.585,56.096,,,590.743,259.55,81.744,,,365.278,262.365,73.24,,,480.449,174.585,241.957,,,473.675,63.266,56.096
384.295,268.04,56.096,,,495.489,77.585,56.096,,,590.743,259.55,81.744,,,365.278,262.365,73.24,,,480.449,174.585,241.957,,,473.675,63.266,56.096
393.91,268.04,56.096,,,500.503,86.268,56.096,,,585.949,256.782,90.105,,,370.193,259.527,81.812,,,480.449,185.936,259.102,,,468.534,72.17,56.096
393.91,268.04,56.096,,,500.503,86.268,56.096,,,585.949,256.782,90.105,,,370.193,259.527,81.812,,,480.449,185.936,259.102,,,468.534,72.17,56.096
403.526,268.04,56.096,,,505.516,94.952,56.096,,,581.156,254.014,98.465,,,375.108,256.689,90.384,,,480.449,180.261,250.53,,,463.394,81.073,56.096
403.526,268.04,56.096,,,505.516,94.952,56.096,,,581.156,254.014,98.465,,,375.108,256.689,90.384,,,480.449,180.261,250.53,,,463.394,81.073,56.096
413.141,268.04,56.096,,,510.53,103.636,56.096,,,576.362,251.247,106.826,,,380.023,253.852,98.956,,,480.449,168.91,233.385,,,458.254,89.976,56.096
413.141,268.04,56.096,,,510.53,103.636,56.096,,,576.362,251.247,106.826,,,380.023,253.852,98.956,,,480.449,168.91,233.385,,,458.254,89.976,56.096
422.756,268.04,56.096,,,515.544,112.32,56.096,,,571.568,248.479,115.187,,,384.938,251.014,107.528,,,480.449,163.235,224.813,,,453.114,98.879,56.096
422.756,268.04,56.096,,,515.544,112.32,56.096,,,571.568,248.479,115.187,,,384.938,251.014,107.528,,,480.449,163.235,224.813,,,453.114,98.879,56.096
432.372,268.04,56.096,,,520.557,121.003,56.096,,,566.774,245.711,123.548,,,389.853,248.177,116.101,,,480.449,157.56,216.241,,,447.973,107.782,56.096
432.372,268.04,56.096,,,520.557,121.003,56.096,,,566.774,245.711,123.548,,,389.853,248.177,116.101,,,480.449,157.56,216.241,,,447.973,107.782,56.096
441.987,268.04,56.096,,,525.571,129.687,56.096,,,561.981,242.944,131.909,,,394.768,245.339,124.673,,,480.449,151.884,207.669,,,442.833,116.685,56.096
441.987,268.04,56.096,,,525.571,129.687,56.096,,,561.981,242.944,131.909,,,394.768,245.339,124.673,,,480.449,151.884,207.669,,,442.833,116.685,56.096
451.602,268.04,56.096,,,530.584,138.371,56.096,,,557.187,240.176,140.269,,,399.683,242.501,133.245,,,480.449,146.209,199.097,,,437.693,125.589,56.096
451.602,268.04,56.096,,,530.584,138.371,56.096,,,557.187,240.176,140.269,,,399.683,242.501,133.245,,,480.449,146.209,199.097,,,437.693,125.589,56.096
461.218,268.04,56.096,,,535.598,147.055,56.096,,,552.393,237.408,148.63,,,404.598,239.664,141.817,,,480.449,140.534,190.525,,,432.553,134.492,56.096
461.218,268.04,56.096,,,535.598,147.055,56.096,,,552.393,237.408,148.63,,,404.598,239.664,141.817,,,480.449,140.534,190.525,,,432.553,134.492,56.096
470.833,268.04,56.096,,,540.611,155.738,56.096,,,547.599,234.641,156.991,,,409.513,236.826,150.389,,,480.449,134.859,181.953,,,427.412,143.395,56.096
470.833,268.04,56.096,,,540.611,155.738,56.096,,,547.599,234.641,156.991,,,409.513,236.826,150.389,,,480.449,134.859,181.953,,,427.412,143.395,56.096
480.449,268.04,56.096,,,545.625,164.422,56.096,,,542.806,231.873,165.352,,,414.428,233.988,158.961,,,480.449,129.183,173.381,,,422.272,152.298,56.096
480.449,268.04,56.096,,,545.625,164.422,56.096,,,542.806,231.873,165.352,,,414.428,233.988,158.961,,,480.449,129.183,173.381,,,422.272,152.298,56.096
490.064,268.04,56.096,,,550.638,173.106,56.096,,,538.012,229.105,173.712,,,419.342,231.151,167.533,,,480.449,123.508,164.809,,,417.132,161.201,56.096
490.064,268.04,56.096,,,550.638,173.106,56.096,,,538.012,229.105,173.712,,,419.342,231.151,167.533,,,480.449,123.508,164.809,,,417.132,161.201,56.096
499.679,268.04,56.096,,,555.652,181.79,56.096,,,533.218,226.337,182.073,,,424.257,228.313,176.105,,,480.449,117.833,156.237,,,411.992,170.105,56.096
499.679,268.04,56.096,,,555.652,181.79,56.096,,,533.218,226.337,182.073,,,424.257,228.313,176.105,,,480.449,117.833,156.237,,,411.992,170.105,56.096
509.295,268.04,56.096,,,560.666,190.473,56.096,,,528.424,223.57,190.434,,,429.172,225.476,184.677,,,480.449,112.158,147.665,,,406.851,179.008,56.096
509.295,268.04,56.096,,,560.666,190.473,56.096,,,528.424,223.57,190.434,,,429.172,225.476,184.677,,,480.449,112.158,147.665,,,406.851,179.008,56.096
518.91,268.04,56.096,,,565.679,199.157,56.096,,,523.63,220.802,198.795,,,434.087,222.638,193.249,,,480.449,106.482,139.093,,,401.711,187.911,56.096
518.91,268.04,56.096,,,565.679,199.157,56.096,,,523.63,220.802,198.795,,,434.087,222.638,193.249,,,480.449,106.482,139.093,,,401.711,187.911,56.096
538.141,268.04,56.096,,,570.693,207.841,56.096,,,518.837,218.034,207.156,,,439.002,219.8,201.821,,,480.449,100.807,130.52,,,396.571,196.814,56.096
538.141,268.04,56.096,,,570.693,207.841,56.096,,,518.837,218.034,207.156,,,439.002,219.8,201.821,,,480.449,100.807,130.52,,,396.571,196.814,56.096
528.526,268.04,56.096,,,575.706,216.524,56.096,,,514.043,215.267,215.516,,,443.917,216.963,210.393,,,480.449,95.132,121.948,,,391.431,205.717,56.096
528.526,268.04,56.096,,,575.706,216.524,56.096,,,514.043,215.267,215.516,,,443.917,216.963,210.393,,,480.449,95.132,121.948,,,391.431,205.717,56.096
547.756,268.04,56.096,,,580.72,225.208,56.096,,,509.249,212.499,223.877,,,448.832,214.125,218.965,,,480.449,89.457,113.376,,,386.29,214.621,56.096
547.756,268.04,56.096,,,580.72,225.208,56.096,,,509.249,212.499,223.877,,,448.832,214.125,218.965,,,480.449,89.457,113.376,,,386.29,214.621,56.096
557.372,268.04,56.096,,,585.733,233.892,56.096,,,504.455,209.731,232.238,,,453.747,211.287,227.538,,,480.449,83.781,104.804,,,381.15,223.524,56.096
557.372,268.04,56.096,,,585.733,233.892,56.096,,,504.455,209.731,232.238,,,453.747,211.287,227.538,,,480.449,83.781,104.804,,,381.15,223.524,56.096
566.987,268.04,56.096,,,590.747,242.576,56.096,,,499.662,206.964,240.599,,,458.662,208.45,236.11,,,480.449,78.106,96.232,,,376.01,232.427,56.096
566.987,268.04,56.096,,,590.747,242.576,56.096,,,499.662,206.964,240.599,,,458.662,208.45,236.11,,,480.449,78.106,96.232,,,376.01,232.427,56.096
576.602,268.04,56.096,,,595.76,251.259,56.096,,,494.868,204.196,248.96,,,463.577,205.612,244.682,,,480.449,72.431,87.66,,,370.87,241.33,56.096
576.602,268.04,56.096,,,595.76,251.259,56.096,,,494.868,204.196,248.96,,,463.577,205.612,244.682,,,480.449,72.431,87.66,,,370.87,241.33,56.096
586.218,268.04,56.096,,,600.774,259.943,56.096,,,490.074,201.428,257.32,,,468.492,202.774,253.254,,,480.449,66.756,79.088,,,365.729,250.233,56.096
586.218,268.04,56.096,,,600.774,259.943,56.096,,,490.074,201.428,257.32,,,468.492,202.774,253.254,,,480.449,66.756,79.088,,,365.729,250.233,56.096
595.833,268.04,56.096,,,605.124,267.853,56.661,,,485.28,198.661,265.681,,,473.406,199.937,261.826,,,480.449,61.08,70.516,,,360.589,259.136,56.096
595.833,268.04,56.096,,,605.124,267.853,56.661,,,485.28,198.661,265.681,,,473.406,199.937,261.826,,,480.449,61.08,70.516,,,360.589,259.136,56.096
605.124,267.853,56.661,,,,,,,,,,,,,,,,,,480.449,55.405,61.944,,,,,
605.124,267.853,56.661,,,,,,,,,,,,,,,,,,480.449,55.405,61.944,,,,,
600.774,259.943,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
600.774,259.943,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
595.76,251.259,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
595.76,251.259,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
590.747,242.576,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
590.747,242.576,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
585.733,233.892,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
585.733,233.892,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
580.72,225.208,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
580.72,225.208,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
575.706,216.524,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
575.706,216.524,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
570.693,207.841,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
570.693,207.841,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
565.679,199.157,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
565.679,199.157,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
560.666,190.473,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
560.666,190.473,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
555.652,181.79,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
555.652,181.79,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
550.638,173.106,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
550.638,173.106,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
545.625,164.422,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
545.625,164.422,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
540.611,155.738,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
540.611,155.738,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
535.598,147.055,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
535.598,147.055,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
530.584,138.371,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
530.584,138.371,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
525.571,129.687,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
525.571,129.687,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
520.557,121.003,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
520.557,121.003,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
515.544,112.32,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
515.544,112.32,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
510.53,103.636,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
510.53,103.636,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
505.516,94.952,56.096,,,,,,,,,,,,,,,,,,,,,,,,,
