,,,,
X,Y,Z,,
450,238.264,-469.595,,
450,238.264,-469.595,,
450,243.228,-465.744,,
450,243.228,-465.744,,
450,247.94,-461.59,,
450,247.94,-461.59,,
450,252.382,-457.148,,
450,252.382,-457.148,,
450,256.537,-452.435,,
450,256.537,-452.435,,
450,260.387,-447.471,,
450,260.387,-447.471,,
450,263.918,-442.276,,
450,263.918,-442.276,,
450,267.116,-436.868,,
450,267.116,-436.868,,
450,269.968,-431.271,,
450,269.968,-431.271,,
450,272.463,-425.505,,
450,272.463,-425.505,,
450,274.591,-419.594,,
450,274.591,-419.594,,
450,276.344,-413.562,,
450,276.344,-413.562,,
450,277.714,-407.431,,
450,277.714,-407.431,,
450,278.697,-401.226,,
450,278.697,-401.226,,
450,279.288,-394.972,,
450,279.288,-394.972,,
450,279.485,-388.693,,
450,279.485,-388.693,,
450,279.288,-382.414,,
450,279.288,-382.414,,
450,278.697,-376.159,,
450,278.697,-376.159,,
450,277.714,-369.955,,
450,277.714,-369.955,,
450,276.344,-363.824,,
450,276.344,-363.824,,
450,274.591,-357.792,,
450,274.591,-357.792,,
450,272.463,-351.881,,
450,272.463,-351.881,,
450,269.968,-346.115,,
450,269.968,-346.115,,
450,267.116,-340.517,,
450,267.116,-340.517,,
450,263.918,-335.11,,
450,263.918,-335.11,,
450,260.387,-329.914,,
450,260.387,-329.914,,
450,256.537,-324.951,,
450,256.537,-324.951,,
450,252.382,-320.238,,
450,252.382,-320.238,,
450,247.94,-315.796,,
450,247.94,-315.796,,
450,243.228,-311.641,,
450,243.228,-311.641,,
450,238.264,-307.791,,
450,238.264,-307.791,,
450,233.068,-304.26,,
450,233.068,-304.26,,
450,227.661,-301.062,,
450,227.661,-301.062,,
450,222.064,-298.21,,
450,222.064,-298.21,,
450,216.298,-295.715,,
450,216.298,-295.715,,
450,210.387,-293.587,,
450,210.387,-293.587,,
450,204.354,-291.835,,
450,204.354,-291.835,,
450,198.224,-290.464,,
450,198.224,-290.464,,
450,192.019,-289.481,,
450,192.019,-289.481,,
450,185.765,-288.89,,
450,185.765,-288.89,,
450,179.486,-288.693,,
450,179.486,-288.693,,
450,173.206,-288.89,,
450,173.206,-288.89,,
450,166.952,-289.482,,
450,166.952,-289.482,,
450,160.747,-290.464,,
450,160.747,-290.464,,
450,154.616,-291.835,,
450,154.616,-291.835,,
450,148.584,-293.587,,
450,148.584,-293.587,,
450,142.673,-295.715,,
450,142.673,-295.715,,
450,136.907,-298.21,,
450,136.907,-298.21,,
450,131.31,-301.062,,
450,131.31,-301.062,,
450,125.903,-304.26,,
450,125.903,-304.26,,
450,120.707,-307.791,,
450,120.707,-307.791,,
450,115.743,-311.641,,
450,115.743,-311.641,,
450,111.031,-315.796,,
450,111.031,-315.796,,
450,106.589,-320.238,,
450,106.589,-320.238,,
450,102.434,-324.951,,
450,102.434,-324.951,,
450,98.584,-329.915,,
450,98.584,-329.915,,
450,95.053,-335.11,,
450,95.053,-335.11,,
450,91.855,-340.517,,
450,91.855,-340.517,,
450,89.003,-346.115,,
450,89.003,-346.115,,
450,86.508,-351.88,,
450,86.508,-351.88,,
450,84.38,-357.791,,
450,84.38,-357.791,,
450,82.627,-363.824,,
450,82.627,-363.824,,
450,81.257,-369.955,,
450,81.257,-369.955,,
450,80.274,-376.16,,
450,80.274,-376.16,,
450,79.683,-382.414,,
450,79.683,-382.414,,
450,79.485,-388.693,,
450,79.485,-388.693,,
450,79.683,-394.972,,
450,79.683,-394.972,,
450,80.274,-401.227,,
450,80.274,-401.227,,
450,81.257,-407.431,,
450,81.257,-407.431,,
450,82.627,-413.562,,
450,82.627,-413.562,,
450,84.38,-419.594,,
450,84.38,-419.594,,
450,86.508,-425.505,,
450,86.508,-425.505,,
450,89.003,-431.271,,
450,89.003,-431.271,,
450,91.855,-436.869,,
450,91.855,-436.869,,
450,95.053,-442.276,,
450,95.053,-442.276,,
450,98.584,-447.471,,
450,98.584,-447.471,,
450,102.434,-452.435,,
450,102.434,-452.435,,
450,106.588,-457.147,,
450,106.588,-457.147,,
450,111.031,-461.59,,
450,111.031,-461.59,,
450,115.743,-465.744,,
450,115.743,-465.744,,
450,120.707,-469.595,,
450,120.707,-469.595,,
450,125.903,-473.126,,
450,125.903,-473.126,,
450,131.31,-476.324,,
450,131.31,-476.324,,
450,136.907,-479.175,,
450,136.907,-479.175,,
450,142.673,-481.671,,
450,142.673,-481.671,,
450,148.584,-483.799,,
450,148.584,-483.799,,
450,154.617,-485.551,,
450,154.617,-485.551,,
450,160.747,-486.922,,
450,160.747,-486.922,,
450,166.952,-487.904,,
450,166.952,-487.904,,
450,173.206,-488.496,,
450,173.206,-488.496,,
450,179.485,-488.693,,
450,179.485,-488.693,,
450,185.765,-488.496,,
450,185.765,-488.496,,
450,192.019,-487.904,,
450,192.019,-487.904,,
450,198.224,-486.922,,
450,198.224,-486.922,,
450,204.354,-485.551,,
450,204.354,-485.551,,
450,210.387,-483.799,,
450,210.387,-483.799,,
450,216.298,-481.671,,
450,216.298,-481.671,,
450,222.063,-479.176,,
450,222.063,-479.176,,
450,227.661,-476.323,,
450,227.661,-476.323,,
450,233.068,-473.126,,
450,233.068,-473.126,,
